,System size,Number of targets,Error (10 steps),Error (20 steps)
89,9.0,3.0,0.03423725055702956,0.02271654836637768
90,10.0,3.0,0.34924723618514414,0.38614486849495283
91,10.0,3.0,0.18605292797259043,0.023275347466531204
92,10.0,3.0,,
93,10.0,3.0,0.06431929307396285,0.05298578686536595
94,10.0,3.0,0.2702876995459784,0.16525667232646077
95,11.0,3.0,0.17930411054994802,0.17305243518832344
96,11.0,3.0,0.3255197957307277,0.3479441088318249
97,11.0,3.0,0.6973813255900456,0.22935896374121093
98,11.0,3.0,0.18161615304941728,0.2002731108872695
99,11.0,3.0,,
100,12.0,3.0,0.6492215901185299,1.2702391469631824
101,12.0,3.0,0.27807494212904876,0.27032808374448775
102,12.0,3.0,0.4481046267008885,0.1825598880154794
103,12.0,3.0,0.3352948818295604,0.3244653417429513
104,12.0,3.0,0.21943905286484341,0.2368558557879089
105,6.0,4.0,0.13235217039838293,0.050870352079900386
106,6.0,4.0,,
107,6.0,4.0,0.1129325987634424,0.11677832629441244
108,6.0,4.0,,
109,6.0,4.0,,
110,7.0,4.0,,
111,7.0,4.0,,
112,7.0,4.0,0.15915602403746698,0.11107432316781174
113,7.0,4.0,,
114,7.0,4.0,0.05486671052466846,0.051165960002650196
115,8.0,4.0,0.2481293361819195,0.20763066831846044
116,8.0,4.0,0.039574062489207536,0.03323496638237217
117,8.0,4.0,,
118,8.0,4.0,,
119,8.0,4.0,0.08221955019051644,0.04756661131907186
120,9.0,4.0,0.11371646446521783,0.13618089844098386
121,9.0,4.0,,
122,9.0,4.0,,
123,9.0,4.0,,
124,9.0,4.0,,
125,10.0,4.0,0.15472487631538734,0.04358061974909769
126,10.0,4.0,,
127,10.0,4.0,0.3141311845514428,0.27416336752846915
128,10.0,4.0,,
129,10.0,4.0,,
130,11.0,4.0,0.3331281359781551,0.42174142073941445
131,11.0,4.0,,
132,11.0,4.0,,
133,11.0,4.0,0.04137177237761671,0.04154802065358501
134,11.0,4.0,,
135,12.0,4.0,0.4151471910472691,0.7357690852493219
136,12.0,4.0,0.23606718738723476,0.10474449350560261
137,12.0,4.0,0.2471276629899401,0.2413193929395138
138,12.0,4.0,0.2963306730451032,0.27806136638016576
139,12.0,4.0,0.31729058951034916,0.2161611308994906
140,6.0,5.0,,
141,6.0,5.0,,
142,6.0,5.0,0.48197881079806243,0.4839517746223846
143,6.0,5.0,0.18793224797437144,0.15360759497374596
144,6.0,5.0,0.39372815022658897,0.36545983752554567
145,7.0,5.0,0.14231943477434264,0.12166359022232327
146,7.0,5.0,,
147,7.0,5.0,0.7330350126929075,0.7635615753930685
148,7.0,5.0,0.0686780846988575,0.05698379820412628
149,7.0,5.0,,
150,8.0,5.0,,
151,8.0,5.0,0.19917589089629745,0.4614213519606201
152,8.0,5.0,,
153,8.0,5.0,,
154,8.0,5.0,0.2393530842618182,0.4233276198415833
155,9.0,5.0,,
156,9.0,5.0,0.2509478488336404,0.2079757056615381
157,9.0,5.0,,
158,9.0,5.0,0.28785815954946187,0.29301148817086853
159,9.0,5.0,,
160,10.0,5.0,,
161,10.0,5.0,0.528885441157364,0.4930794366486585
162,10.0,5.0,0.3828088411652781,0.5482114281931341
163,10.0,5.0,,
164,10.0,5.0,0.24813388122560243,0.19095959735558518
165,11.0,5.0,0.16917275301314005,0.15237523392468863
166,11.0,5.0,,
167,11.0,5.0,,
168,11.0,5.0,0.13745819660568243,0.19401106084767555
169,11.0,5.0,,
170,12.0,5.0,0.22027011841936708,0.19936872558078614
171,12.0,5.0,,
172,12.0,5.0,0.29990222092459595,0.3070709610784297
173,12.0,5.0,,
174,12.0,5.0,0.1590451927761785,0.17006613929908287
175,6.0,6.0,,
176,6.0,6.0,,
177,6.0,6.0,,
178,6.0,6.0,,
179,6.0,6.0,0.05342053905579022,0.054501496415868995
180,7.0,6.0,,
181,7.0,6.0,0.18986214548750527,0.11847282884193706
182,7.0,6.0,,
183,7.0,6.0,,
184,7.0,6.0,0.1765856564883478,0.2595443252599184
185,8.0,6.0,,
186,8.0,6.0,,
187,8.0,6.0,0.23529884041628094,0.42643365544188655
188,8.0,6.0,,
189,8.0,6.0,0.6392743890151681,0.8055044791785927
190,9.0,6.0,,
191,9.0,6.0,,
192,9.0,6.0,0.24881118682950576,0.23030945200345054
193,9.0,6.0,,
194,9.0,6.0,,
195,10.0,6.0,,
196,10.0,6.0,,
197,10.0,6.0,,
198,10.0,6.0,0.13988516905060952,0.11963521837219031
199,10.0,6.0,,
200,11.0,6.0,,
201,11.0,6.0,0.2021765999107965,0.0980888548692428
202,11.0,6.0,0.2538185019382741,0.21642445434412824
203,11.0,6.0,,
204,11.0,6.0,,
205,12.0,6.0,,
206,12.0,6.0,,
207,12.0,6.0,,
208,12.0,6.0,,
209,12.0,6.0,,
210,6.0,7.0,,
211,6.0,7.0,,
212,6.0,7.0,,
213,6.0,7.0,,
214,6.0,7.0,,
215,7.0,7.0,,
216,7.0,7.0,0.12752794867958808,0.10206729171679464
217,7.0,7.0,,
218,7.0,7.0,,
219,7.0,7.0,0.1900512935797805,0.19985918198945413
220,8.0,7.0,,
221,8.0,7.0,,
222,8.0,7.0,,
223,8.0,7.0,,
224,8.0,7.0,,
225,9.0,7.0,,
226,9.0,7.0,,
227,9.0,7.0,0.10086009365223762,0.09365212359174305
228,9.0,7.0,,
229,9.0,7.0,,
230,10.0,7.0,0.1654962600135801,0.18729051755727566
231,10.0,7.0,,
232,10.0,7.0,0.2132251690395582,0.3315989641481263
233,10.0,7.0,0.20361601435589444,0.19670567454579965
234,10.0,7.0,,
235,11.0,7.0,,
236,11.0,7.0,,
237,11.0,7.0,,
238,11.0,7.0,,
239,11.0,7.0,,
240,12.0,7.0,,
241,12.0,7.0,7.835321317307492,0.3937074631143479
242,12.0,7.0,,
243,12.0,7.0,0.13573827119784532,0.10818633994327864
244,12.0,7.0,,
245,6.0,8.0,,
246,6.0,8.0,,
247,6.0,8.0,,
248,6.0,8.0,,
249,6.0,8.0,,
250,7.0,8.0,,
251,7.0,8.0,,
252,7.0,8.0,0.19461929209610895,0.2298677682764333
253,7.0,8.0,,
254,7.0,8.0,,
255,8.0,8.0,,
256,8.0,8.0,,
257,8.0,8.0,0.33165224740833565,0.4224703629599041
258,8.0,8.0,0.12924420235084538,0.16017988267407085
259,8.0,8.0,,
260,9.0,8.0,,
261,9.0,8.0,,
262,9.0,8.0,,
263,9.0,8.0,,
264,9.0,8.0,,
265,10.0,8.0,,
266,10.0,8.0,,
267,10.0,8.0,,
268,10.0,8.0,,
269,10.0,8.0,,
270,11.0,8.0,0.33176866077687145,0.6721234795907104
271,11.0,8.0,,
272,11.0,8.0,,
273,11.0,8.0,0.1954320672013871,0.2293926738744707
274,11.0,8.0,0.11669361977773952,0.09452921195899555
275,12.0,8.0,0.15773016474063334,0.11366469890660753
276,12.0,8.0,,
277,12.0,8.0,,
278,12.0,8.0,,
279,12.0,8.0,0.26552008966186946,0.28205016377374725
